iter	MAPE
0	0.9671301275
1	0.9584548895
2	0.9495028489
3	0.9403230957
4	0.9322426601
5	0.9250639764
6	0.917769129
7	0.910566941
8	0.9030573621
9	0.8963315536
10	0.8913931702
11	0.8830715708
12	0.8786223609
13	0.8714298598
14	0.8661858303
15	0.8596817206
16	0.8549625793
17	0.8507346308
18	0.8435378204
19	0.8357865763
20	0.8326941618
21	0.8269133732
22	0.8222347903
23	0.8178108612
24	0.8120730572
25	0.808434013
26	0.8030505509
27	0.7995306938
28	0.7956216632
29	0.7887744079
30	0.7847902927
31	0.7815315884
32	0.7761822867
33	0.7725048313
34	0.7688743258
35	0.7662863227
36	0.7605382614
37	0.7569537004
38	0.7541962972
39	0.7508688416
40	0.7484906164
41	0.7445316653
42	0.7406425311
43	0.7372074427
44	0.7337455363
45	0.7284636946
46	0.7246723865
47	0.7203775248
48	0.7177226659
49	0.7154266753
50	0.7131231552
51	0.7105724633
52	0.7083108696
53	0.7062612565
54	0.7029922505
55	0.7007868389
56	0.6978926312
57	0.6956034479
58	0.6938672211
59	0.6922986884
60	0.6891180112
61	0.6859886267
62	0.683883238
63	0.6811660581
64	0.6775993659
65	0.6755468126
66	0.6728783045
67	0.670862061
68	0.6690098237
69	0.6662744344
