iter	Passed	Remaining
0	34	2405
1	68	2331
2	96	2155
3	128	2123
4	157	2043
5	182	1941
6	209	1886
7	241	1870
8	267	1814
9	303	1818
10	330	1772
11	364	1759
12	391	1716
13	425	1703
14	451	1655
15	482	1628
16	509	1589
17	540	1562
18	576	1546
19	613	1534
20	636	1484
21	673	1469
22	708	1447
23	737	1412
24	767	1381
25	796	1348
26	832	1326
27	857	1285
28	882	1247
29	922	1230
30	946	1191
31	974	1156
32	1012	1134
33	1040	1101
34	1064	1064
35	1090	1030
36	1126	1004
37	1152	970
38	1177	936
39	1204	903
40	1229	869
41	1256	837
42	1282	805
43	1311	775
44	1340	744
45	1383	721
46	1416	693
47	1446	663
48	1476	632
49	1493	597
50	1518	565
51	1535	531
52	1561	500
53	1585	469
54	1607	438
55	1636	409
56	1664	379
57	1687	349
58	1706	318
59	1731	288
60	1758	259
61	1782	230
62	1801	200
63	1822	170
64	1855	142
65	1879	113
66	1902	85
67	1922	56
68	1948	28
69	1969	0
