Revenue,Gross Profit,Operating Income,Pretax Income,Diluted EPS,EBITDA,ROA,ROE,Total Current Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Total Noncurrent Liabilities,Total Liabilities,Total Equity,Cash from Operations,Cash from Investing Activities,Cash from Financing Activities,Date,Company,Revenue target,Operating Income target
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-03-31,AMPY,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-06-30,AMPY,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-09-30,AMPY,61.863,-32.289
61.863,25.009,-32.289,-33.64,0,-2.23,0.0169810585170112,0.032986564375776864,48.11,576.545976,624.656,85.854,253.3,339.154,285.502016,38.239,-79.88,38.765,2011-12-31,AMPY,48.41,2.342
48.41,13.781999999999998,2.342,0.659,-0.0868310034275055,30.369,0,0,42.309,646.299976,688.609024,147.718,272.896,420.614,267.995008,34.316,-72.466,40,2012-03-31,AMPY,49.259,4.064
49.259,15.291999999999998,4.064,3.217,-2.419250011444092,31.946,0,0,55.14,736.095032,791.235008,90.467,330.628992,421.095992,370.139024,25.647,-111.779,88.627,2012-06-30,AMPY,55.498,3.674
55.498,18.072000000000003,3.674,2.846,0.04804899916052818,34.366,0,0,36.274,820.011008,856.284992,113.239,389.980992,503.219992,353.065008,34.717,-100.63,58.898,2012-09-30,AMPY,89.839,20.68
89.839,39.076,20.68,11.284,0.0900610014796257,59.64,-0.12427605638425693,-0.32315202564294765,89.472,1594.538,1684.009984,135.427008,905.001984,1040.428992,643.580992,42.569,-488.732992,460.368,2012-12-31,AMPY,86.142,13.06
86.142,30.040999999999997,13.06,2.198,-0.03409799933433533,55.036,-0.10835151724131244,-0.30969569949561987,135.283008,1684.20096,1819.484032,168.818,1013.540992,1182.358992,637.124992,62.203,-132.538,102.082,2013-03-31,AMPY,102.516,9.947
102.516,31.797999999999995,9.947,-6.669,-0.10477600246667862,62.777,0.003989837622455743,-0.0003823717385173915,127.598,2438.246064,2565.843968,182.304992,1741.46496,1923.769952,642.073984,10.637,-748.793984,699.817024,2013-06-30,AMPY,146.874,24.692
146.874,49.879999999999995,24.692,-1.251,-0.048806000500917435,99.481,0.0015398138843255122,-0.0193264859823488,165.668,2538.80204,2704.470016,261.844,1787.91104,2049.75504,654.715008,107.101,-177.936992,83.504,2013-09-30,AMPY,160.672992,36.704
160.672992,59.240992,36.704,7.02,-0.41870200634002686,117.505,-0.01207476127548393,0,192.596992,2149.509952,2342.10688,253.754,1748.354048,2002.108048,339.999008,47.161,-134.576992,95.626,2013-12-31,AMPY,152.524992,42.784
152.524992,64.999992,42.784,8.847,-0.376554012298584,109.685,-0.023399396335738454,0,191.959008,2138.05296,2330.011904,330.008992,1742.23296,2072.241952,257.770016,105.409,-122.78,-1.144,2014-03-31,AMPY,162.319008,49.077
162.319008,71.092008,49.077,15.273,0.06632100045681,120.151,-0.014499946960862055,0,189.767008,2053.516952,2243.283968,289.401984,1696.299008,1985.700992,257.582976,68.152,-5.248,-47.892,2014-06-30,AMPY,166.518,56.431
166.518,76.038,56.431,22.153,0.15651600062847137,129.54,0.0020078287485686655,0,174.851008,2105.118016,2279.969024,249.087008,1696.605056,1945.692064,334.277024,135.02,-153.319008,14.356,2014-09-30,AMPY,155.3,50.728
155.3,73.293,50.728,15.238,0.04566600173711777,109.579,0.0320509651898971,0,273.124992,2174.050032,2447.174912,251.476,1729.837056,1981.313056,465.861984,42.963,-122.917,65.794,2014-12-31,AMPY,142.434,39.902
142.434,60.299,39.902,3.408,0.182219997048378,98.33,0.04833709229513387,0,215.083008,2056.515984,2271.599104,239.612992,1758.680064,1998.293056,273.305984,113.017,-111.167,-1.466,2015-03-31,AMPY,136.236,40.936
136.236,58.833,40.936,-3.917,-0.06769999861717224,96.191,0.04855893838051015,0,292.863008,1503.375032,1796.237952,175.484992,1943.549952,2119.034944,-322.796992,25.633,-38.827,152.29,2015-06-30,AMPY,111.302,34.049
111.302,47.403,34.049,-6.503,-0.9730799794197083,78.763,0.029349360863953386,0,271.158016,1026.902984,1298.061056,174.952992,1939.118976,2114.071968,-816.010944,97.242,-81.414,-0.082,2015-09-30,AMPY,101.882,30.266
101.882,43.593,30.266,-10.868,-6.372031211853027,70.512,-0.04180732775954157,0,145.802,533.364992,679.166976,1984.56,20.673,2005.233,-1326.066048,-22.509,-63.148,-0.033,2015-12-31,AMPY,51.961,-4.764
51.961,10.945,-4.764,-48.919,-8.902338027954102,20.071,-0.11282527529356359,0,344.702016,438.143,782.844992,2265.100032,22.255,2287.355032,-1504.510016,29.855,-58.654,249.132,2016-03-31,AMPY,62.559,18.16
62.559,27.368,18.16,-0.655,0.2432119995355606,36.798,-0.13120506895123965,0,333.884992,395.408992,729.294016,320.976,1903.425024,2224.401024,-1495.106944,21.706,-41.77,0.199,2016-06-30,AMPY,64.193,22.731
64.193,30.335,22.731,20.063,-0.0369190014898777,38.487,-0.1600717249898499,0,328.044992,367.647,695.692032,326.214016,1902.567936,2228.781952,-1533.090112,26.683,-28.648,0,2016-09-30,AMPY,63.039,15.816
63.039,28.077,15.816,14.432,-0.06370200216770172,31.863,-0.020940125473431822,0,123.889,637.050008,760.939008,56.252,142.872992,199.124992,561.814032,7.397,-27.581,-182.574,2016-12-31,AMPY,60.15,14.597
60.15,28.68,14.597,13.62,0.5907859802246094,29.939,0.04079964035941832,0,132.963,656.375032,789.337984,62.045,143.204,205.249,584.088984,32.373,-24.758,0,2017-03-31,AMPY,53.186,7.477
53.186,20.385,7.477,6.249,0.33590400218963623,23.436,0.04994682959958687,0,131.592,670.055976,801.648,59.471,143.506,202.977,598.671,30.804,-29.611,-0.997,2017-06-30,AMPY,56.215,11.812
56.215,25.118,11.812,10.163,0.30821898579597473,26.982,0.061988857099699514,0,114.864,690.175008,805.038976,56.467,142.975008,199.442008,605.597008,26.14,-34.237,-0.004,2017-09-30,AMPY,53.344,8.763
53.344,33.716,8.763,12.142,0.3725830018520355,28.124,0.06018976315000058,0.08327182744409989,106.688,581.440016,688.128,57.822,144.719008,202.541008,485.587024,30.285,-37.358,-0.977,2017-12-31,AMPY,52.844,9.751
52.844,22.526,9.751,7.943,0.2730009853839874,24.964,0.046390435970340635,0.060860024944439164,45.969,599.652976,645.622016,58.247,95.447,153.694,491.927992,22.147,-31.758,-50.459,2018-03-31,AMPY,53.672,11.426
53.672,19.986,11.426,10.129,0.30309799313545227,27.91,0.045705701992183094,0.05851446100053786,43.904,558.682008,602.585984,71.092,39.503,110.595,491.991016,27.145,20.702,-50.019,2018-06-30,AMPY,85.522,-16.952
85.522,44.662,-16.952,-22.29,-0.7240729928016663,-3.597,0.008548279558794477,0.010713678630982526,41.125,568.874008,609.998976,64.235,40.805,105.04,504.958984,67.318,-16.935,17.654,2018-09-30,AMPY,75.702,17.31
75.702,32.178,17.31,-25.322,-0.5541189908981323,29.712,0.09168868868095885,0.14961074684497072,105.597,731.245992,836.843008,50.418,369.867008,420.285008,416.558008,25.171,51.657,-38.986,2018-12-31,AMPY,65.155,4.692
65.155,23.768,4.692,0.79,-0.2671220004558563,15.858,-0.045613438098956516,-0.06258904199759532,23.709,549.088016,572.796992,27.653,71.595,99.248,473.549,10.8,-10.5,-25.128,2019-03-31,AMPY,59.532,4.076
59.532,18.995,4.076,-0.346,0.12636999785900116,16.989,-0.05587168719540456,-0.07525982408730227,22.724,513.906008,536.630016,26.219,72.85,99.069,437.560984,22.499,66.925,-95.598,2019-06-30,AMPY,72.959,-0.696
